Species,Age,Sex,winglength,wt,billlength,talonlength,taillength
Red Tailed,Adult,Unknown,411,1220,28.1,32.7,236
Sharp Shinned,Adult,Male,161,95,9.6,12.4,121
Sharp Shinned,Immature,Male,165,100,9.8,12,134
Red Tailed,Immature,Unknown,393,1265,28.3,32.7,233
Red Tailed,Immature,Unknown,370,1020,24.6,30,211
Coopers,Adult,Male,230,360,16,22.1,186
Red Tailed,Immature,Unknown,365,895,24.5,28.9,217
Red Tailed,Immature,Unknown,371,1160,25.7,28.4,218
Red Tailed,Immature,Unknown,400,1585,29,33.8,241
Red Tailed,Adult,Unknown,382,1140,24.9,31.6,218
Red Tailed,Adult,Unknown,371,1115,25.3,29.2,208
Red Tailed,Adult,Unknown,370,1145,25.4,30.2,212
Sharp Shinned,Adult,Female,194,185,12.8,14.8,152
Red Tailed,Adult,Unknown,347,990,25.3,29.8,203
Sharp Shinned,Immature,Female,195,165,11.7,14.5,153
Red Tailed,Adult,Unknown,392,1030,26.3,28.1,196
Coopers,Immature,Male,220,320,15.5,19.5,184
Sharp Shinned,Immature,Female,193,105,13,15.6,156
Red Tailed,Immature,Unknown,365,990,26.4,30,217
Red Tailed,Adult,Unknown,387,1065,28,32.7,212
Red Tailed,Immature,Unknown,400,1050,26.1,29.7,237
Red Tailed,Immature,Unknown,362,840,23.2,26.1,206
Sharp Shinned,Immature,Female,198,190,12.2,15.8,158
Sharp Shinned,Immature,Female,190,200,12.7,15,157
Sharp Shinned,Immature,Female,197,185,12.8,15.6,157
Red Tailed,Adult,Unknown,370,1000,26.9,31.4,201
Sharp Shinned,Immature,Female,200,185,12.8,15.2,158
Red Tailed,Adult,Unknown,360,1325,26.2,30.6,224
Red Tailed,Adult,Unknown,366,945,25.3,27.2,199
Red Tailed,Adult,Unknown,402,1350,28.7,31,219
Red Tailed,Immature,Unknown,366,805,23.5,25.7,217
Red Tailed,Immature,Unknown,380,1525,26,27.6,224
Sharp Shinned,Immature,Female,190,175,12.7,15.4,150
Red Tailed,Immature,Unknown,360,790,21.9,27.6,211
Red Tailed,Immature,Unknown,369,860,25.2,28,207
Red Tailed,Adult,Unknown,199,1290,28.7,32.1,222